41.5229 	46.7652 	17.4 
41.5484 	46.6877 	16.1 
38.4023 	46.8380 	8.7 
38.3798 	46.7958 	18.9 
38.4601 	46.7196 	3.6 
38.5124 	46.7721 	13.4 
40.7560 	48.4350 	40.6 
41.7207 	46.3143 	24.0 
38.4775 	46.6148 	6.0 
40.2685 	48.7611 	62.9 
41.5662 	46.6037 	17.5 
41.1376 	47.9489 	15.0  
40.9605 	47.4372 	17.1 
39.9467 	47.8934 	24.9 
42.0446 	46.8057 	49.1 
41.3817 	45.8052 	28.9 
40.2000 	47.1830 	26.5 
41.4833 	46.5833 	10.0 
41.5053 	46.7433 	15.9 
41.5763 	46.5387 	11.6 
42.0285 	47.9439 	19.6 
40.5183 	45.2921 	10.4 
38.4674 	45.0991 	10.8 
38.5240 	45.0350 	10.0 
38.4199 	44.9097 	16.0 
38.4110 	45.1400 	19.1 
38.4614 	44.8505 	11.0 
38.5420 	45.4150 	10.0  
41.6480 	49.2890 	56.9 
39.0206 	48.7354 	54.6 
40.1885 	48.1887 	37.1 
40.3050 	48.2560 	79.3 
37.5692 	45.6165 	21.3  
41.1658 	49.7285 	39.3 
